RaterID,PlotID,Level,VisualRating
R01,1,Beginner,8
R01,2,Beginner,5
R01,3,Beginner,3
R01,4,Beginner,7
R01,5,Beginner,4
R01,6,Beginner,3
R01,7,Beginner,3
R01,8,Beginner,3
R01,9,Beginner,3
R01,10,Beginner,6
R01,11,Beginner,6
R01,12,Beginner,7
R01,13,Beginner,6
R01,14,Beginner,5
R01,15,Beginner,3
R01,16,Beginner,4
R01,17,Beginner,5
R01,18,Beginner,6
R01,19,Beginner,5
R01,20,Beginner,4
R01,21,Beginner,4
R01,22,Beginner,4
R01,23,Beginner,2
R01,24,Beginner,2
R01,25,Beginner,6
R01,26,Beginner,5
R01,27,Beginner,4
R01,28,Beginner,4
R01,29,Beginner,5
R01,30,Beginner,5
R01,31,Beginner,6
R01,32,Beginner,4
R01,33,Beginner,5
R01,34,Beginner,4
R01,35,Beginner,6
R01,36,Beginner,6
R01,37,Beginner,4
R01,38,Beginner,3
R01,39,Beginner,6
R01,40,Beginner,4
R01,41,Beginner,3
R01,42,Beginner,3
R01,43,Beginner,3
R01,44,Beginner,5
R01,45,Beginner,4
R01,46,Beginner,4
R01,47,Beginner,7
R01,48,Beginner,5
R01,49,Beginner,4
R01,50,Beginner,4
R01,51,Beginner,6
R01,52,Beginner,3
R01,53,Beginner,3
R01,54,Beginner,4
R01,55,Beginner,4
R01,56,Beginner,3
R01,57,Beginner,8
R01,58,Beginner,4
R01,59,Beginner,4
R01,60,Beginner,3
R01,61,Beginner,2
R01,62,Beginner,4
R01,63,Beginner,4
R01,64,Beginner,5
R01,65,Beginner,4
R01,66,Beginner,4
R01,67,Beginner,6
R01,68,Beginner,4
R01,69,Beginner,4
R01,70,Beginner,6
R01,71,Beginner,5
R01,72,Beginner,5
R01,73,Beginner,4
R01,74,Beginner,4
R01,75,Beginner,8
R01,76,Beginner,4
R01,77,Beginner,5
R01,78,Beginner,5
R01,79,Beginner,5
R01,80,Beginner,5
R01,81,Beginner,4
R01,82,Beginner,5
R01,83,Beginner,3
R01,84,Beginner,4
R01,85,Beginner,3
R01,86,Beginner,3
R01,87,Beginner,3
R01,88,Beginner,6
R01,89,Beginner,4
R01,90,Beginner,6
R01,91,Beginner,4
R01,92,Beginner,4
R01,93,Beginner,1
R01,94,Beginner,6
R01,95,Beginner,4
R01,96,Beginner,3
R01,97,Beginner,5
R01,98,Beginner,4
R01,99,Beginner,5
R01,100,Beginner,5
R01,101,Beginner,4
R01,102,Beginner,5
R01,103,Beginner,5
R01,104,Beginner,6
R01,105,Beginner,4
R01,106,Beginner,3
R01,107,Beginner,5
R01,108,Beginner,8
R01,109,Beginner,6
R01,110,Beginner,6
R01,111,Beginner,4
R01,112,Beginner,7
R01,113,Beginner,5
R01,114,Beginner,4
R01,115,Beginner,4
R01,116,Beginner,5
R01,117,Beginner,2
R01,118,Beginner,3
R01,119,Beginner,6
R01,120,Beginner,4
R01,121,Beginner,2
R01,122,Beginner,2
R01,123,Beginner,3
R01,124,Beginner,5
R01,125,Beginner,5
R01,126,Beginner,5
R01,127,Beginner,3
R01,128,Beginner,4
R01,129,Beginner,2
R01,130,Beginner,3
R01,131,Beginner,2
R01,132,Beginner,4
R01,133,Beginner,4
R01,134,Beginner,2
R01,135,Beginner,4
