Location,Site,Trial_ID,Species,Date,Plot_ID,TQR,RGB_Blue,RGB_Green,RGB_Red,RGB_CV_Blue,RGB_CV_Green,RGB_CV_Red,RGB_VARI,RGB_ExG,RGB_NGRDI,RGB_GR,RGB_CanopyDensity,RGB_LeafTexture,RGB_SurfaceUniformity,MS_Green,MS_Red,MS_RedEdge,MS_NIR,MS_CV_Green,MS_CV_Red,MS_CV_RedEdge,MS_CV_NIR,MS_NGRDI,MS_GR,MS_NDVI,MS_NDRE,MS_GNDVI,MS_GCI,MS_CanopyDensity,MS_LeafTexture,MS_SurfaceUniformity
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P001,8,0.0353,0.0656,0.045,0.111,0.0834,0.1435,0.274,0.0509,0.1865,1.4584,74.7339,0.0853,0.1103,0.0845,0.0461,0.3,0.4998,0.1592,0.0941,0.2341,0.1093,0.2944,1.8343,0.8312,0.2498,0.7108,4.9157,79.6387,0.109,0.1585
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P002,4,0.0564,0.0919,0.0666,0.1682,0.2025,0.142,0.2474,0.0608,0.1594,1.3794,53.4908,0.188,0.1971,0.11,0.0784,0.1935,0.3181,0.2015,0.224,0.1831,0.193,0.1678,1.4032,0.6047,0.2435,0.4863,1.8934,81.3301,0.1053,0.1535
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P003,4,0.0627,0.0969,0.0728,0.1704,0.2409,0.1572,0.2256,0.0584,0.1423,1.3317,56.325,0.1165,0.1995,0.083,0.067,0.2748,0.4187,0.1507,0.1516,0.2906,0.1716,0.1068,1.2392,0.7242,0.2076,0.6692,4.0458,54.1643,0.0977,0.1758
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P004,3,0.0667,0.0996,0.0773,0.1654,0.1436,0.172,0.2031,0.0554,0.1265,1.2898,52.0615,0.1256,0.132,0.1164,0.0892,0.1506,0.2408,0.1251,0.1789,0.1462,0.1693,0.1322,1.3046,0.4594,0.2304,0.3484,1.0692,58.5815,0.0819,0.1659
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P005,6,0.0469,0.0786,0.0571,0.1987,0.1885,0.1817,0.2416,0.0531,0.1581,1.3755,66.9169,0.1244,0.1771,0.0742,0.058,0.2722,0.4326,0.2157,0.1828,0.1036,0.229,0.1222,1.2785,0.7634,0.2275,0.7072,4.8298,66.2453,0.1074,0.177
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P006,5,0.0557,0.0915,0.0659,0.2013,0.1464,0.1689,0.2515,0.0613,0.1624,1.3878,54.3285,0.0812,0.1755,0.0891,0.0717,0.2386,0.3792,0.14,0.2136,0.1566,0.2004,0.1083,1.2429,0.6819,0.2275,0.6193,3.2542,60.6779,0.1023,0.1068
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P007,5,0.0551,0.0884,0.0651,0.2099,0.1034,0.2135,0.2371,0.0567,0.152,1.3586,79.2716,0.1099,0.1364,0.0677,0.0525,0.3221,0.4908,0.1456,0.21,0.1426,0.1902,0.1265,1.2897,0.8068,0.2076,0.7576,6.2494,71.6799,0.0583,0.1312
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P008,4,0.0774,0.1153,0.0868,0.2304,0.1785,0.1092,0.2292,0.0665,0.1415,1.3295,60.2407,0.1561,0.1217,0.0943,0.0725,0.2434,0.381,0.2495,0.2085,0.0828,0.2415,0.1308,1.3011,0.6804,0.2203,0.6033,3.0412,46.9654,0.133,0.1342
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P009,8,0.0349,0.0739,0.0445,0.2358,0.15,0.1562,0.3525,0.0685,0.2486,1.6618,73.615,0.1256,0.0997,0.0971,0.0531,0.2542,0.4431,0.1242,0.1405,0.0819,0.1402,0.293,1.8287,0.786,0.2709,0.6405,3.5634,81.2945,0.02,0.237
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P010,5,0.0663,0.1049,0.0757,0.106,0.0603,0.2287,0.2547,0.0677,0.1612,1.3845,65.8712,0.0934,0.1149,0.0864,0.0624,0.2589,0.4117,0.1643,0.1211,0.0813,0.1201,0.161,1.3839,0.7367,0.2279,0.6532,3.7664,60.1094,0.0842,0.172
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P011,7,0.0509,0.0886,0.0605,0.1578,0.1666,0.193,0.2865,0.0658,0.1887,1.4652,98.0813,0.1043,0.1393,0.0923,0.0534,0.2648,0.4366,0.1558,0.1539,0.1271,0.1536,0.2664,1.7263,0.7819,0.2449,0.6512,3.7331,79.9087,0.0737,0.0762
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P012,6,0.0507,0.0867,0.0607,0.1733,0.1154,0.1905,0.2692,0.0621,0.1766,1.429,68.5534,0.0551,0.1501,0.116,0.0748,0.1526,0.2819,0.2548,0.204,0.1562,0.1572,0.2157,1.5501,0.5805,0.2977,0.417,1.4308,70.531,0.1321,0.1716
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P013,7,0.0541,0.0884,0.0636,0.1795,0.1402,0.1479,0.2542,0.0592,0.1638,1.3916,77.319,0.1719,0.1221,0.0816,0.0583,0.2555,0.4241,0.0807,0.1939,0.2143,0.167,0.1664,1.3992,0.7582,0.2482,0.6773,4.1976,79.389,0.0942,0.1285
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P014,6,0.053,0.0926,0.0627,0.1183,0.1542,0.0764,0.292,0.0695,0.1924,1.4764,81.3039,0.152,0.2038,0.0952,0.0675,0.2223,0.3751,0.1153,0.0869,0.1617,0.1676,0.1701,1.4101,0.6949,0.2557,0.5951,2.9393,71.5166,0.1254,0.1222
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P015,5,0.0512,0.0823,0.0616,0.1181,0.1218,0.2208,0.2238,0.0519,0.1442,1.3371,76.7093,0.1167,0.1058,0.0693,0.0613,0.2877,0.4411,0.2947,0.1989,0.1161,0.149,0.0609,1.1298,0.7559,0.2105,0.7285,5.3666,61.0912,0.1469,0.2647
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P016,6,0.0564,0.0975,0.066,0.1578,0.1465,0.1797,0.2948,0.0727,0.1931,1.4785,63.9594,0.1209,0.0981,0.0835,0.0535,0.2948,0.4681,0.1248,0.1223,0.1575,0.2061,0.2191,1.5612,0.7948,0.2272,0.6971,4.6038,60.3106,0.1031,0.1713
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P017,7,0.0643,0.1069,0.0733,0.1403,0.0927,0.2267,0.29,0.0762,0.1865,1.4585,69.8966,0.13,0.1396,0.0912,0.0614,0.2484,0.416,0.1564,0.1404,0.1652,0.182,0.1956,1.4864,0.7429,0.2523,0.6403,3.5607,82.4176,0.1058,0.1913
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P018,5,0.043,0.0729,0.0534,0.191,0.1337,0.17,0.2341,0.0495,0.1545,1.3654,68.7502,0.159,0.1839,0.0777,0.0643,0.2522,0.405,0.1874,0.1641,0.1949,0.1802,0.0946,1.2089,0.726,0.2326,0.678,4.2105,69.4395,0.0478,0.1776
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P019,5,0.0574,0.0886,0.0676,0.2041,0.1347,0.1742,0.2128,0.0522,0.1345,1.3109,91.7088,0.1743,0.1272,0.0908,0.0674,0.2489,0.3913,0.2736,0.2127,0.1755,0.1368,0.1481,1.3477,0.7063,0.2224,0.6234,3.3101,71.2198,0.0906,0.1063
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P020,4,0.0674,0.1014,0.0773,0.2241,0.1804,0.1742,0.217,0.0582,0.1351,1.3124,58.7497,0.0791,0.1956,0.0946,0.0749,0.2253,0.3567,0.1841,0.2025,0.2206,0.2019,0.1163,1.2631,0.6529,0.2257,0.5807,2.7703,64.8431,0.0881,0.2077
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P021,7,0.028,0.0554,0.0384,0.1719,0.2213,0.1349,0.2576,0.0443,0.1807,1.4412,79.0531,0.0761,0.1112,0.0779,0.0568,0.2651,0.4419,0.1566,0.0843,0.1856,0.1252,0.1567,1.3718,0.7723,0.2501,0.7003,4.6739,74.5758,0.1528,0.1421
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P022,7,0.0511,0.0905,0.0607,0.1845,0.1326,0.1778,0.298,0.0693,0.1973,1.4916,57.0142,0.1775,0.1892,0.0874,0.058,0.254,0.4218,0.221,0.1799,0.1736,0.1534,0.2022,1.5068,0.7582,0.2483,0.6567,3.8252,76.8658,0.0751,0.1105
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P023,3,0.0687,0.1037,0.079,0.2024,0.2441,0.1912,0.2167,0.0596,0.1352,1.3126,63.77,0.1456,0.2199,0.0911,0.0742,0.2602,0.3875,0.2691,0.147,0.3091,0.1836,0.1022,1.2277,0.6786,0.1966,0.6194,3.2544,65.1233,0.0758,0.1453
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P024,6,0.0539,0.085,0.0637,0.1293,0.1127,0.1136,0.2244,0.0524,0.1431,1.334,64.3361,0.0775,0.1716,0.0965,0.0648,0.2353,0.3872,0.2112,0.1115,0.1118,0.2573,0.1962,1.4883,0.7132,0.2441,0.6011,3.0141,81.9931,0.149,0.1753
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P025,4,0.0682,0.1053,0.0779,0.2035,0.1458,0.2131,0.238,0.0645,0.1495,1.3515,66.3156,0.1277,0.153,0.0772,0.0644,0.2857,0.4357,0.1449,0.1398,0.1275,0.2017,0.0905,1.1991,0.7425,0.2078,0.699,4.6445,69.3164,0.1117,0.2179
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P026,6,0.055,0.088,0.0646,0.1508,0.1534,0.1753,0.2403,0.0565,0.1537,1.3632,75.5735,0.0933,0.1081,0.0853,0.0558,0.2798,0.4504,0.1203,0.1716,0.1399,0.1173,0.2093,1.5293,0.7797,0.2337,0.6816,4.2822,58.5772,0.1297,0.1829
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P027,5,0.0569,0.0926,0.0668,0.21,0.1012,0.1223,0.2512,0.0615,0.1616,1.3854,74.2153,0.1033,0.1373,0.1065,0.0769,0.1714,0.2989,0.203,0.2022,0.2509,0.2197,0.1615,1.3853,0.5908,0.2711,0.4746,1.8065,69.834,0.087,0.215
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P028,4,0.0609,0.0924,0.0712,0.1144,0.1123,0.1451,0.2064,0.0527,0.1296,1.2978,43.9505,0.102,0.1455,0.1018,0.0733,0.1998,0.3194,0.2099,0.1142,0.2139,0.1871,0.1627,1.3886,0.6266,0.2303,0.5166,2.1372,62.2631,0.1387,0.2002
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P029,6,0.0568,0.0932,0.0664,0.1598,0.1767,0.1331,0.2611,0.0632,0.1681,1.4041,64.3344,0.0957,0.1834,0.0931,0.0663,0.2383,0.3962,0.0902,0.2067,0.126,0.1392,0.168,1.4038,0.7133,0.2489,0.6195,3.2568,73.1505,0.1327,0.1713
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P030,4,0.0585,0.094,0.0687,0.267,0.2274,0.1416,0.2422,0.0607,0.1551,1.3671,57.2521,0.1346,0.15,0.0902,0.0638,0.267,0.4113,0.1985,0.1878,0.2399,0.2063,0.1717,1.4146,0.7315,0.2127,0.6402,3.5589,66.935,0.1095,0.1801
